timestamp,mode,battery_voltage,brownout,has_ds_connection,match_time,alliance,driver_station_position,has_fms_connection,is_sys_active,match_type,match_number,queue_index
149267,0,12.5548,0,1,-1,0,2,0,0,0,0,7417

149287,0,12.5548,0,1,-1,0,2,0,0,0,0,7418

149309,0,12.5422,0,1,-1,0,2,0,0,0,0,7419

149332,0,12.5611,0,1,-1,0,2,0,0,0,0,7420

149348,0,12.5548,0,1,-1,0,2,0,0,0,0,7421

149371,0,12.5611,0,1,-1,0,2,0,0,0,0,7422

149393,0,12.5548,0,1,-1,0,2,0,0,0,0,7423

149408,0,12.5611,0,1,-1,0,2,0,0,0,0,7424

149428,0,12.5736,0,1,-1,0,2,0,0,0,0,7425

149449,0,12.5736,0,1,-1,0,2,0,0,0,0,7426

149467,0,12.5736,0,1,-1,0,2,0,0,0,0,7427

149488,0,12.5674,0,1,-1,0,2,0,0,0,0,7428

149510,0,12.5799,0,1,-1,0,2,0,0,0,0,7429

149532,0,12.5611,0,1,-1,0,2,0,0,0,0,7430

149547,0,12.5799,0,1,-1,0,2,0,0,0,0,7431

149568,0,12.5736,0,1,-1,0,2,0,0,0,0,7432

149588,0,12.5736,0,1,-1,0,2,0,0,0,0,7433

149611,0,12.5736,0,1,-1,0,2,0,0,0,0,7434

149631,0,12.5674,0,1,-1,0,2,0,0,0,0,7435

149649,0,12.5674,0,1,-1,0,2,0,0,0,0,7436

149672,0,12.5799,0,1,-1,0,2,0,0,0,0,7437

149687,0,12.5611,0,1,-1,0,2,0,0,0,0,7438

149708,0,12.5674,0,1,-1,0,2,0,0,0,0,7439

149727,0,12.5611,0,1,-1,0,2,0,0,0,0,7440

149753,0,12.5611,0,1,-1,0,2,0,0,0,0,7441

149767,0,12.5611,0,1,-1,0,2,0,0,0,0,7442

149792,0,12.5674,0,1,-1,0,2,0,0,0,0,7443

149813,0,12.5674,0,1,-1,0,2,0,0,0,0,7444

149853,0,12.5548,0,1,-1,0,2,0,0,0,0,7445

149873,0,12.5674,0,1,-1,0,2,0,0,0,0,7446

149892,0,12.5736,0,1,-1,0,2,0,0,0,0,7447

149907,0,12.5674,0,1,-1,0,2,0,0,0,0,7448

149931,0,12.5674,0,1,-1,0,2,0,0,0,0,7449

149950,0,12.5736,0,1,-1,0,2,0,0,0,0,7450

149972,0,12.5736,0,1,-1,0,2,0,0,0,0,7451

149992,0,12.5799,0,1,-1,0,2,0,0,0,0,7452

150007,0,12.5799,0,1,-1,0,2,0,0,0,0,7453

150032,0,12.5674,0,1,-1,0,2,0,0,0,0,7454

150048,0,12.5736,0,1,-1,0,2,0,0,0,0,7455

150071,0,12.5485,0,1,-1,0,2,0,0,0,0,7456

150093,0,12.5611,0,1,-1,0,2,0,0,0,0,7457

150113,0,12.5548,0,1,-1,0,2,0,0,0,0,7458

150132,0,12.5548,0,1,-1,0,2,0,0,0,0,7459

150150,0,12.5611,0,1,-1,0,2,0,0,0,0,7460

150173,0,12.5611,0,1,-1,0,2,0,0,0,0,7461

150192,0,12.5736,0,1,-1,0,2,0,0,0,0,7462

150207,0,12.5736,0,1,-1,0,2,0,0,0,0,7463

150231,0,12.5611,0,1,-1,0,2,0,0,0,0,7464

150247,0,12.5674,0,1,-1,0,2,0,0,0,0,7465

150270,0,12.5611,0,1,-1,0,2,0,0,0,0,7466

150288,0,12.5674,0,1,-1,0,2,0,0,0,0,7467

150307,0,12.5799,0,1,-1,0,2,0,0,0,0,7468

150328,0,12.5862,0,1,-1,0,2,0,0,0,0,7469

150348,0,12.5862,0,1,-1,0,2,0,0,0,0,7470

150367,0,12.5674,0,1,-1,0,2,0,0,0,0,7471

150391,0,12.5674,0,1,-1,0,2,0,0,0,0,7472

150412,0,12.5736,0,1,-1,0,2,0,0,0,0,7473

150432,0,12.5736,0,1,-1,0,2,0,0,0,0,7474

150452,0,12.5736,0,1,-1,0,2,0,0,0,0,7475

150472,0,12.5611,0,1,-1,0,2,0,0,0,0,7476

150487,0,12.5736,0,1,-1,0,2,0,0,0,0,7477

150511,0,12.5611,0,1,-1,0,2,0,0,0,0,7478

150532,0,12.5674,0,1,-1,0,2,0,0,0,0,7479

150552,0,12.5736,0,1,-1,0,2,0,0,0,0,7480

150568,0,12.5548,0,1,-1,0,2,0,0,0,0,7481

150593,0,12.5736,0,1,-1,0,2,0,0,0,0,7482

150612,0,12.5548,0,1,-1,0,2,0,0,0,0,7483

150628,0,12.5736,0,1,-1,0,2,0,0,0,0,7484

150652,0,12.5611,0,1,-1,0,2,0,0,0,0,7485

150672,0,12.5611,0,1,-1,0,2,0,0,0,0,7486

150691,0,12.5799,0,1,-1,0,2,0,0,0,0,7487

150712,0,12.5736,0,1,-1,0,2,0,0,0,0,7488

150727,0,12.5736,0,1,-1,0,2,0,0,0,0,7489

150751,0,12.5799,0,1,-1,0,2,0,0,0,0,7490

150773,0,12.5799,0,1,-1,0,2,0,0,0,0,7491

150792,0,12.5799,0,1,-1,0,2,0,0,0,0,7492

150807,0,12.5799,0,1,-1,0,2,0,0,0,0,7493

150828,0,12.5799,0,1,-1,0,2,0,0,0,0,7494

150848,0,12.5736,0,1,-1,0,2,0,0,0,0,7495

150871,0,12.5799,0,1,-1,0,2,0,0,0,0,7496

150888,0,12.5674,0,1,-1,0,2,0,0,0,0,7497

150908,0,12.5611,0,1,-1,0,2,0,0,0,0,7498

150928,0,12.5736,0,1,-1,0,2,0,0,0,0,7499

150951,0,12.5674,0,1,-1,0,2,0,0,0,0,7500

150968,0,12.5736,0,1,-1,0,2,0,0,0,0,7501

150991,0,12.5736,0,1,-1,0,2,0,0,0,0,7502

151008,0,12.5611,0,1,-1,0,2,0,0,0,0,7503

151032,0,12.5736,0,1,-1,0,2,0,0,0,0,7504

151049,0,12.5674,0,1,-1,0,2,0,0,0,0,7505

151068,0,12.5674,0,1,-1,0,2,0,0,0,0,7506

151092,0,12.5674,0,1,-1,0,2,0,0,0,0,7507

151108,0,12.5799,0,1,-1,0,2,0,0,0,0,7508

151130,0,12.5862,0,1,-1,0,2,0,0,0,0,7509

151156,0,12.5611,0,1,-1,0,2,0,0,0,0,7510

151176,0,12.5674,0,1,-1,0,2,0,0,0,0,7511

151189,0,12.5799,0,1,-1,0,2,0,0,0,0,7512

151215,0,12.5862,0,1,-1,0,2,0,0,0,0,7513

151226,0,12.5799,0,1,-1,0,2,0,0,0,0,7514

151247,0,12.5674,0,1,-1,0,2,0,0,0,0,7515

151267,0,12.5736,0,1,-1,0,2,0,0,0,0,7516

151292,0,12.5988,0,1,-1,0,2,0,0,0,0,7517

151311,0,12.5674,0,1,-1,0,2,0,0,0,0,7518

151327,0,12.5736,0,1,-1,0,2,0,0,0,0,7519

151348,0,12.5674,0,1,-1,0,2,0,0,0,0,7520

151372,0,12.5799,0,1,-1,0,2,0,0,0,0,7521

151395,0,12.5611,0,1,-1,0,2,0,0,0,0,7522

151411,0,12.5674,0,1,-1,0,2,0,0,0,0,7523

151427,0,12.5736,0,1,-1,0,2,0,0,0,0,7524

151448,0,12.5674,0,1,-1,0,2,0,0,0,0,7525

151468,0,12.5736,0,1,-1,0,2,0,0,0,0,7526

151492,0,12.5736,0,1,-1,0,2,0,0,0,0,7527

151512,0,12.5674,0,1,-1,0,2,0,0,0,0,7528

151531,0,12.5674,0,1,-1,0,2,0,0,0,0,7529

151555,0,12.5674,0,1,-1,0,2,0,0,0,0,7530

151573,0,12.5799,0,1,-1,0,2,0,0,0,0,7531

151588,0,12.5799,0,1,-1,0,2,0,0,0,0,7532

151608,0,12.5799,0,1,-1,0,2,0,0,0,0,7533

151627,0,12.5736,0,1,-1,0,2,0,0,0,0,7534

151648,0,12.5736,0,1,-1,0,2,0,0,0,0,7535

151668,0,12.5799,0,1,-1,0,2,0,0,0,0,7536

151692,0,12.5736,0,1,-1,0,2,0,0,0,0,7537

151712,0,12.5799,0,1,-1,0,2,0,0,0,0,7538

151732,0,12.5736,0,1,-1,0,2,0,0,0,0,7539

151752,0,12.5611,0,1,-1,0,2,0,0,0,0,7540

151768,0,12.5611,0,1,-1,0,2,0,0,0,0,7541

151787,0,12.5674,0,1,-1,0,2,0,0,0,0,7542

151812,0,12.5736,0,1,-1,0,2,0,0,0,0,7543

151831,0,12.5674,0,1,-1,0,2,0,0,0,0,7544

151852,0,12.5674,0,1,-1,0,2,0,0,0,0,7545

151867,0,12.5674,0,1,-1,0,2,0,0,0,0,7546

151888,0,12.5611,0,1,-1,0,2,0,0,0,0,7547

151911,0,12.5736,0,1,-1,0,2,0,0,0,0,7548

151932,0,12.5674,0,1,-1,0,2,0,0,0,0,7549

151952,0,12.5799,0,1,-1,0,2,0,0,0,0,7550

151972,0,12.5988,0,1,-1,0,2,0,0,0,0,7551

151993,0,12.5799,0,1,-1,0,2,0,0,0,0,7552

152007,0,12.5862,0,1,-1,0,2,0,0,0,0,7553

152031,0,12.5862,0,1,-1,0,2,0,0,0,0,7554

152057,0,12.5736,0,1,-1,0,2,0,0,0,0,7555

152068,0,12.5925,0,1,-1,0,2,0,0,0,0,7556

152092,0,12.5799,0,1,-1,0,2,0,0,0,0,7557

152113,0,12.5611,0,1,-1,0,2,0,0,0,0,7558

152132,0,12.5611,0,1,-1,0,2,0,0,0,0,7559

152152,0,12.5736,0,1,-1,0,2,0,0,0,0,7560

152168,0,12.5674,0,1,-1,0,2,0,0,0,0,7561

152191,0,12.5611,0,1,-1,0,2,0,0,0,0,7562

152209,0,12.5611,0,1,-1,0,2,0,0,0,0,7563

152231,0,12.5611,0,1,-1,0,2,0,0,0,0,7564

152248,0,12.5674,0,1,-1,0,2,0,0,0,0,7565

152272,0,12.5736,0,1,-1,0,2,0,0,0,0,7566

152287,0,12.5674,0,1,-1,0,2,0,0,0,0,7567

152311,0,12.5736,0,1,-1,0,2,0,0,0,0,7568

152328,0,12.5611,0,1,-1,0,2,0,0,0,0,7569

152351,0,12.5799,0,1,-1,0,2,0,0,0,0,7570

152368,0,12.5736,0,1,-1,0,2,0,0,0,0,7571

152387,0,12.5611,0,1,-1,0,2,0,0,0,0,7572

152407,0,12.5799,0,1,-1,0,2,0,0,0,0,7573

152432,0,12.5736,0,1,-1,0,2,0,0,0,0,7574

152452,0,12.5799,0,1,-1,0,2,0,0,0,0,7575

152467,0,12.5736,0,1,-1,0,2,0,0,0,0,7576

152488,0,12.5674,0,1,-1,0,2,0,0,0,0,7577

152511,0,12.5736,0,1,-1,0,2,0,0,0,0,7578

152532,0,12.5799,0,1,-1,0,2,0,0,0,0,7579

152551,0,12.5736,0,1,-1,0,2,0,0,0,0,7580

152572,0,12.5611,0,1,-1,0,2,0,0,0,0,7581

152591,0,12.5736,0,1,-1,0,2,0,0,0,0,7582

152608,0,12.5611,0,1,-1,0,2,0,0,0,0,7583

152632,0,12.5611,0,1,-1,0,2,0,0,0,0,7584

