timestamp,left_voltage,right_voltage,high_gear,queue_index
87487,0.00208439,-0.00208439,0,17349

87492,0.00208439,-0.00208439,0,17350

87497,-0.00659756,0.00659756,0,17351

87502,0.00353138,-0.00353138,0,17352

87507,0.0165543,-0.0165543,0,17353

87512,0.00787236,-0.00787236,0,17354

87517,0.00787236,-0.00787236,0,17355

87522,-0.00370357,0.00370357,0,17356

87527,0.0266832,-0.0266832,0,17357

87532,0.0136603,-0.0136603,0,17358

87537,0.00787236,-0.00787236,0,17359

87542,-0.000809592,0.000809592,0,17360

87547,0.0310242,-0.0310242,0,17361

87552,0.0122133,-0.0122133,0,17362

87557,-0.0239615,0.0239615,0,17363

87562,-0.0167265,0.0167265,0,17364

87567,-0.0167265,0.0167265,0,17365

87572,0.0194483,-0.0194483,0,17366

87577,-0.00659756,0.00659756,0,17367

87582,-0.0196205,0.0196205,0,17368

87587,-0.0138325,0.0138325,0,17369

87592,-0.0427723,0.0427723,0,17370

87597,0.0151073,-0.0151073,0,17371

87602,0.0208953,-0.0208953,0,17372

87607,0.0165543,-0.0165543,0,17373

87612,0.0136603,-0.0136603,0,17374

87617,0.00787236,-0.00787236,0,17375

87622,-0.0138325,0.0138325,0,17376

87627,-0.0109385,0.0109385,0,17377

87632,0.0180013,-0.0180013,0,17378

87637,0.0541761,-0.0541761,0,17379

87642,0.0382592,-0.0382592,0,17380

87647,0.0223423,-0.0223423,0,17381

87652,0.0165543,-0.0165543,0,17382

87657,0.0368122,-0.0368122,0,17383

87662,0.00497837,-0.00497837,0,17384

87667,-0.0181735,0.0181735,0,17385

87672,0.0368122,-0.0368122,0,17386

87677,0.0208953,-0.0208953,0,17387

87682,-0.000809592,0.000809592,0,17388

87687,0.00787236,-0.00787236,0,17389

87692,0.0208953,-0.0208953,0,17390

87697,0.0122133,-0.0122133,0,17391

87702,0.00787236,-0.00787236,0,17392

87707,0.00642537,-0.00642537,0,17393

87712,-0.0181735,0.0181735,0,17394

87717,0.00353138,-0.00353138,0,17395

87722,-0.0152795,0.0152795,0,17396

87727,0.0165543,-0.0165543,0,17397

87732,0.0165543,-0.0165543,0,17398

87737,0.0122133,-0.0122133,0,17399

87742,-0.00949154,0.00949154,0,17400

87747,-0.00370357,0.00370357,0,17401

87752,0.0266832,-0.0266832,0,17402

87757,-0.0196205,0.0196205,0,17403

87762,-0.00804455,0.00804455,0,17404

87767,-0.00515057,0.00515057,0,17405

87772,0.0281302,-0.0281302,0,17406

87777,-0.00370357,0.00370357,0,17407

87782,-0.00515057,0.00515057,0,17408

87787,0.0006374,-0.0006374,0,17409

87792,-0.0225145,0.0225145,0,17410

87797,0.00931935,-0.00931935,0,17411

87802,-0.00659756,0.00659756,0,17412

87807,0.00642537,-0.00642537,0,17413

87812,-0.00370357,0.00370357,0,17414

87817,-0.0254084,0.0254084,0,17415

87822,-0.00804455,0.00804455,0,17416

87827,0.0454941,-0.0454941,0,17417

87832,0.0353652,-0.0353652,0,17418

87837,0.00497837,-0.00497837,0,17419

87842,0.0136603,-0.0136603,0,17420

87847,0.0324712,-0.0324712,0,17421

87852,0.0006374,-0.0006374,0,17422

87857,0.0151073,-0.0151073,0,17423

87862,-0.0427723,0.0427723,0,17424

87867,0.0194483,-0.0194483,0,17425

87872,0.0252363,-0.0252363,0,17426

87877,-0.00804455,0.00804455,0,17427

87882,-0.000809592,0.000809592,0,17428

87887,-0.0427723,0.0427723,0,17429

87892,-0.0297494,0.0297494,0,17430

87897,0.0107663,-0.0107663,0,17431

87902,-0.000809592,0.000809592,0,17432

87907,-0.0167265,0.0167265,0,17433

87912,-0.0210675,0.0210675,0,17434

87917,-0.0138325,0.0138325,0,17435

87922,-0.0181735,0.0181735,0,17436

87927,0.00208439,-0.00208439,0,17437

87932,0.00931935,-0.00931935,0,17438

87937,-0.00370357,0.00370357,0,17439

87942,0.0107663,-0.0107663,0,17440

87947,0.00208439,-0.00208439,0,17441

87952,-0.00659756,0.00659756,0,17442

87957,-0.000809592,0.000809592,0,17443

87962,0.0180013,-0.0180013,0,17444

87967,-0.00225658,0.00225658,0,17445

87972,-0.0210675,0.0210675,0,17446

87977,-0.0152795,0.0152795,0,17447

87982,0.0136603,-0.0136603,0,17448

87987,-0.000809592,0.000809592,0,17449

87992,0.0006374,-0.0006374,0,17450

87997,-0.0167265,0.0167265,0,17451

88002,0.00208439,-0.00208439,0,17452

88007,0.0194483,-0.0194483,0,17453

88012,-0.0369844,0.0369844,0,17454

88017,0.00353138,-0.00353138,0,17455

88022,0.0107663,-0.0107663,0,17456

88027,0.00208439,-0.00208439,0,17457

88032,-0.000809592,0.000809592,0,17458

88037,-0.0210675,0.0210675,0,17459

88042,-0.00949154,0.00949154,0,17460

88047,0.00208439,-0.00208439,0,17461

88052,0.0295772,-0.0295772,0,17462

88057,-0.0196205,0.0196205,0,17463

88062,0.00642537,-0.00642537,0,17464

88067,-0.0196205,0.0196205,0,17465

88072,0.0006374,-0.0006374,0,17466

88077,-0.0152795,0.0152795,0,17467

88082,-0.00949154,0.00949154,0,17468

88087,-0.00659756,0.00659756,0,17469

88092,0.0180013,-0.0180013,0,17470

88097,0.0339182,-0.0339182,0,17471

88102,-0.00370357,0.00370357,0,17472

88107,-0.0123855,0.0123855,0,17473

88112,0.0252363,-0.0252363,0,17474

88117,0.0440471,-0.0440471,0,17475

88122,0.0353652,-0.0353652,0,17476

88127,-0.000809592,0.000809592,0,17477

88132,-0.00225658,0.00225658,0,17478

88137,0.0194483,-0.0194483,0,17479

88142,0.00497837,-0.00497837,0,17480

88147,-0.0210675,0.0210675,0,17481

88152,-0.00804455,0.00804455,0,17482

88157,0.0310242,-0.0310242,0,17483

88162,0.0165543,-0.0165543,0,17484

88167,-0.0109385,0.0109385,0,17485

88172,0.0252363,-0.0252363,0,17486

88177,-0.0109385,0.0109385,0,17487

88182,-0.0268554,0.0268554,0,17488

88187,0.0208953,-0.0208953,0,17489

88192,-0.00370357,0.00370357,0,17490

88197,0.0324712,-0.0324712,0,17491

88202,0.0165543,-0.0165543,0,17492

88207,0.0281302,-0.0281302,0,17493

88212,0.0194483,-0.0194483,0,17494

88217,-0.000809592,0.000809592,0,17495

88222,-0.0297494,0.0297494,0,17496

88227,-0.0123855,0.0123855,0,17497

88232,-0.0167265,0.0167265,0,17498

88237,-0.0225145,0.0225145,0,17499

88242,0.0237893,-0.0237893,0,17500

88247,0.00931935,-0.00931935,0,17501

88252,0.0237893,-0.0237893,0,17502

88257,-0.0109385,0.0109385,0,17503

88262,-0.0181735,0.0181735,0,17504

88267,0.00931935,-0.00931935,0,17505

88272,-0.0152795,0.0152795,0,17506

88277,-0.0152795,0.0152795,0,17507

88282,-0.0138325,0.0138325,0,17508

88287,-0.0167265,0.0167265,0,17509

